City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,vuktyl,63.8567,57.3094,-18.82777777777778,99,100,3.0,RU,1707771446
334,umm kaddadah,13.6017,26.6876,23.62777777777778,11,100,11.54,SD,1707771446
335,codrington,-38.2667,141.9667,17.772222222222226,65,55,5.53,AU,1707771446
336,arta,39.1606,20.9853,10.311111111111114,91,100,2.21,GR,1707771446
337,ouadda,8.0777,22.4007,27.472222222222225,22,100,3.94,CF,1707771446
338,portland,45.5234,-122.6762,12.911111111111113,68,75,9.22,US,1707771266
339,dunedin,-45.8742,170.5036,17.472222222222225,51,100,1.48,NZ,1707771446
340,erenhot,43.6475,111.9767,-6.422222222222222,79,5,8.57,CN,1707771446
341,abu jibeha,11.4562,31.2285,26.222222222222225,9,90,6.51,SD,1707771447
342,puerto lempira,15.2667,-83.7667,30.07777777777778,66,40,13.8,HN,1707771305
343,shenjiamen,29.9576,122.298,10.250000000000002,85,89,16.22,CN,1707771447
344,nouadhibou,20.931,-17.0347,20.98888888888889,73,0,13.8,MR,1707771447
345,tanout,14.9709,8.8879,23.62222222222222,9,0,10.89,NE,1707771447
346,zhanibek,49.4167,46.85,1.4388888888888909,100,100,10.31,KZ,1707771447
347,revda,56.801,59.9303,-11.761111111111113,82,100,6.22,RU,1707771447
348,marsa alam,25.0757,34.8918,20.122222222222224,51,24,2.17,EG,1707771169
349,guerrero negro,27.9769,-114.0611,19.15,29,0,3.47,MX,1707771447
350,polyarnyy,69.1989,33.4478,-21.18888888888889,100,80,8.97,RU,1707771447
351,le port,-20.9373,55.2919,27.977777777777778,86,80,3.53,RE,1707771447
352,entebbe,0.0644,32.4469,23.22777777777778,76,82,6.85,UG,1707771448
353,taroa,8.7058,171.2275,27.4,75,96,22.79,MH,1707771448
354,kone,-21.0595,164.8658,26.52777777777778,72,0,3.98,NC,1707771448
355,hovd,48.0056,91.6419,-13.422222222222222,44,0,8.72,MN,1707771448
356,leava,-14.3,-178.1667,28.62222222222222,82,100,19.51,WF,1707771448
357,kolo,52.2002,18.6387,6.272222222222222,82,100,15.01,PL,1707771448
358,pechora,65.1472,57.2244,-27.86111111111111,98,99,4.0,RU,1707771448
359,choibalsan,48.0667,114.5,-9.227777777777778,76,63,15.14,MN,1707771448
360,pinsk,52.1229,26.0951,7.3388888888888895,95,98,4.72,BY,1707771448
361,lebu,-37.6167,-73.65,14.911111111111113,70,0,26.06,CL,1707771448
362,ar rumaythah,31.5263,45.2025,16.73888888888889,49,7,7.92,IQ,1707771449
363,lagunas,-5.2269,-75.6753,27.800000000000004,85,67,2.95,PE,1707771449
364,suva,-18.1416,178.4415,29.711111111111116,84,40,4.61,FJ,1707771454
365,kushiro,42.975,144.3747,3.5277777777777786,52,40,11.5,JP,1707771454
366,xinyuan,37.3,99.0,-9.549999999999999,29,43,5.91,CN,1707771454
